index,occurrence_unique_id,occurrence_year,division,homicide_type,occurrence_date,hood_id,neighbourhood,longitude,latitude,object_id,x,y
1128,GO-201817532,2018,D23,Other,2018-01-03 13:00:00,7,Willowridge-Martingrove-Richview (7),-79.56316615,43.6814985,609,-79.56316615,43.6814985
1129,GO-201854152,2018,D23,Shooting,2018-01-09 13:00:00,8,Humber Heights-Westmount (8),-79.5173064,43.69461525,610,-79.5173064,43.69461525
1130,152518,2004,D31,Stabbing,2004-02-20 13:00:00,26,Downsview-Roding-CFB (26),-79.50859475,43.72091645,611,-79.50859475000001,43.72091644999999
1131,GO-2018113424,2018,D22,Shooting,2018-01-19 13:00:00,11,Eringate-Centennial-West Deane (11),-79.56837973,43.65939746,612,-79.56837972999999,43.65939746000001
1132,GO-2018113424,2018,D22,Shooting,2018-01-19 13:00:00,11,Eringate-Centennial-West Deane (11),-79.56837973,43.65939746,613,-79.56837972999999,43.65939746000001
1133,GO-2018183793,2018,D51,Stabbing,2018-01-29 13:00:00,76,Bay Street Corridor (76),-79.38411783,43.66390399,614,-79.38411782999998,43.66390399
1134,GO-2018104863,2017,D53,Other,2017-12-31 13:00:00,55,Thorncliffe Park (55),-79.34134662,43.70801788,615,-79.34134662,43.70801788
1135,GO-2018104863,2017,D52,Other,2017-12-31 13:00:00,55,Thorncliffe Park (55),-79.34134662,43.70801788,616,-79.34134662,43.70801788
1136,GO-2018104863,2016,D53,Other,2016-04-22 12:00:00,55,Thorncliffe Park (55),-79.34134662,43.70801788,617,-79.34134662,43.70801788
1137,GO-20173201016,2017,D33,Other,2017-12-15 13:00:00,40,St.Andrew-Windfields (40),-79.38214166,43.75788982,618,-79.38214166,43.75788982
1138,GO-20173201016,2017,D33,Other,2017-12-15 13:00:00,40,St.Andrew-Windfields (40),-79.38214166,43.75788982,619,-79.38214166,43.75788982
1139,GO-2018249547,2018,D33,Shooting,2018-02-08 13:00:00,52,Bayview Village (52),-79.3873481,43.78072585,620,-79.3873481,43.780725849999996
1140,GO-2018289167,2018,D43,Shooting,2018-02-15 13:00:00,134,Highland Creek (134),-79.17240665,43.78218914,621,-79.17240665,43.78218913999999
1141,GO-2018366454,2018,D13,Other,2018-02-26 13:00:00,94,Wychwood (94),-79.41705063,43.68010447,622,-79.41705063000002,43.68010447
1142,GO-2018393677,2018,D31,Shooting,2018-03-02 13:00:00,24,Black Creek (24),-79.52036423,43.76882728,623,-79.52036423,43.76882728
