index,occurrence_unique_id,occurrence_date,occurrence_year,occurrence_month,occurrence_dayofweek,occurrence_hour,time_range,division,death,injuries,hood_id,neighbourhood,longitude,latitude,object_id,x,y
221,GO-2005943440,2005-02-26 13:00:00,2005,February,Saturday,1.0,Night,D43,0,2,138,Eglinton East (138),-79.23521611,43.73952891,121,-79.23521611,43.73952890999999
222,GO-2005776194,2005-02-27 13:00:00,2005,February,Sunday,2.0,Night,D43,0,1,137,Woburn (137),-79.23912234,43.77343652,122,-79.23912234,43.77343651999999
223,GO-2005969241,2005-02-28 13:00:00,2005,February,Monday,2.0,Night,D32,1,0,35,Westminster-Branson (35),-79.44601222,43.78591811,123,-79.44601222,43.78591811
224,GO-2005953782,2005-03-04 13:00:00,2005,March,Friday,2.0,Night,D33,0,1,45,Parkwoods-Donalda (45),-79.31406969,43.7442289,124,-79.31406969,43.7442289
225,GO-2005953786,2005-03-05 13:00:00,2005,March,Saturday,20.0,Evening,D33,1,0,42,Banbury-Don Mills (42),-79.35626481,43.74098188,125,-79.35626481,43.74098187999999
226,GO-2005968835,2005-03-05 13:00:00,2005,March,Saturday,23.0,Evening,D42,0,0,117,L'Amoreaux (117),-79.30239461,43.79721854,126,-79.30239461,43.79721854
227,GO-2005949471,2005-03-06 13:00:00,2005,March,Sunday,6.0,Morning,D43,0,0,137,Woburn (137),-79.22279161,43.75239765,127,-79.22279161,43.75239765
228,GO-2005743293,2005-03-12 13:00:00,2005,March,Saturday,2.0,Night,D52,0,1,77,Waterfront Communities-The Island (77),-79.38864414,43.64819947,128,-79.38864414,43.648199469999994
229,GO-2005986104,2005-03-13 13:00:00,2005,March,Sunday,1.0,Night,D42,0,1,128,Agincourt South-Malvern West (128),-79.24844472,43.79184684,129,-79.24844472,43.79184683999999
230,GO-2005773526,2005-03-15 13:00:00,2005,March,Tuesday,16.0,Afternoon,D55,0,1,57,Broadview North (57),-79.35083144,43.68796984,130,-79.35083144,43.68796983999999
231,GO-2005993468,2005-03-16 13:00:00,2005,March,Wednesday,2.0,Night,D43,0,1,123,Cliffcrest (123),-79.2351622,43.72271441,131,-79.2351622,43.72271441000001
232,GO-20051030464,2005-03-17 13:00:00,2005,March,Thursday,10.0,Morning,D51,0,0,73,Moss Park (73),-79.37008264,43.65616228,132,-79.37008264,43.65616228
233,GO-2005946945,2005-03-20 13:00:00,2005,March,Sunday,20.0,Evening,D31,0,1,24,Black Creek (24),-79.51614161,43.75984076,133,-79.51614161,43.759840759999996
234,GO-20051016691,2005-03-21 13:00:00,2005,March,Monday,17.0,Afternoon,D32,0,1,31,Yorkdale-Glen Park (31),-79.45046841,43.72066198,134,-79.45046841,43.72066198000001
235,GO-20051017308,2005-03-23 13:00:00,2005,March,Wednesday,11.0,Morning,D42,0,1,48,Hillcrest Village (48),-79.33627417,43.80408597,135,-79.33627417000001,43.80408597
236,GO-2005761483,2005-03-25 13:00:00,2005,March,Friday,21.0,Evening,D55,0,1,57,Broadview North (57),-79.34951116,43.69136796,136,-79.34951115999999,43.69136795999999
237,GO-2005758325,2005-03-25 13:00:00,2005,March,Friday,10.0,Morning,D51,1,0,76,Bay Street Corridor (76),-79.38207764,43.65909609,137,-79.38207764,43.65909609
238,GO-20051017403,2005-03-25 13:00:00,2005,March,Friday,1.0,Night,D31,0,1,21,Humber Summit (21),-79.5529431,43.75144038,138,-79.55294309999998,43.75144038
239,GO-2005743823,2005-03-27 13:00:00,2005,March,Sunday,14.0,Afternoon,D31,0,1,24,Black Creek (24),-79.51472666,43.76721178,139,-79.51472666,43.76721178
240,GO-2005961606,2005-03-30 13:00:00,2005,March,Wednesday,3.0,Night,D14,0,0,83,Dufferin Grove (83),-79.44395755,43.65808981,140,-79.44395754999998,43.65808980999999
241,GO-2005771937,2005-03-31 13:00:00,2005,March,Thursday,16.0,Afternoon,D23,0,1,7,Willowridge-Martingrove-Richview (7),-79.56169399,43.67894014,141,-79.56169399,43.67894014
242,GO-20051013463,2005-03-31 13:00:00,2005,March,Thursday,15.0,Afternoon,D23,0,0,1,West Humber-Clairville (1),-79.60667875,43.73372347,142,-79.60667875,43.733723469999994
243,GO-2005777302,2005-04-01 13:00:00,2005,April,Friday,0.0,Night,D53,0,2,97,Yonge-St.Clair (97),-79.39329174,43.68623255,143,-79.39329174,43.68623254999999
244,GO-2005782484,2005-04-02 13:00:00,2005,April,Saturday,2.0,Night,D52,0,1,77,Waterfront Communities-The Island (77),-79.38607074,43.64739453,144,-79.38607074,43.647394529999985
245,GO-2005799672,2005-04-07 12:00:00,2005,April,Thursday,3.0,Night,D22,0,1,17,Mimico (includes Humber Bay Shores) (17),-79.4881945,43.61573777,145,-79.4881945,43.61573777000001
246,GO-20051008036,2005-04-08 12:00:00,2005,April,Friday,20.0,Evening,D42,0,1,117,L'Amoreaux (117),-79.30300221,43.79431221,146,-79.30300221,43.79431221
247,GO-20051018414,2005-04-09 12:00:00,2005,April,Saturday,0.0,Night,D23,0,1,1,West Humber-Clairville (1),-79.60387564,43.74364194,147,-79.60387564,43.74364194
248,GO-2005743298,2005-04-10 12:00:00,2005,April,Sunday,16.0,Afternoon,D51,0,3,73,Moss Park (73),-79.3687877,43.65699417,148,-79.3687877,43.65699417
249,GO-2005884190,2005-04-13 12:00:00,2005,April,Wednesday,0.0,Night,D41,1,0,122,Birchcliffe-Cliffside (122),-79.2812186,43.68531183,149,-79.2812186,43.68531183
250,GO-2005809873,2005-04-15 12:00:00,2005,April,Friday,15.0,Afternoon,D42,0,0,NSA,NSA,0.0,0.0,150,0.0,0.0
