X,Y,Index_,Event_Unique_ID,Occurrence_Date,Occurrence_year,Month,Day_of_week,Occurrence_Hour,Time_Range,Division,Death,Injuries,Hood_ID,Neighbourhood,Longitude,Latitude,ObjectId
-8853674.93863301,5424473.44273893,603,GO-20061671159,2006/09/09 04:00:00+00,2006,September,Saturday  ,0,Night,D31,0,1,23,Pelmo Park-Humberlea (23),-79.53391518,43.73467192,103
-8830807.08770901,5422064.03769823,604,GO-20061798737,2006/09/11 04:00:00+00,2006,September,Monday    ,0,Night,D54,0,1,44,Flemingdon Park (44),-79.32848978,43.71903099,104
-8849310.45650818,5415129.33395907,605,GO-20061807162,2006/09/11 04:00:00+00,2006,September,Monday    ,18,Evening,D12,0,0,111,Rockcliffe-Smythe (111),-79.49470837,43.67399077,105
-8827749.00548714,5434898.73116371,606,GO-20061442534,2006/09/14 04:00:00+00,2006,September,Thursday  ,22,Evening,D42,1,0,117,L'Amoreaux (117),-79.30101856,43.80230181,106
-8842006.55651228,5409681.26371634,607,GO-20061873074,2006/09/17 04:00:00+00,2006,September,Sunday    ,3,Night,D14,1,0,85,South Parkdale (85),-79.42909632,43.63858236,107
-8820063.73938731,5428270.87388218,608,GO-20061598789,2006/09/22 04:00:00+00,2006,September,Friday    ,15,Afternoon,D43,0,1,137,Woburn (137),-79.23198064,43.75931509,108
-8834105.73580326,5413160.58141167,609,GO-20061688173,2006/09/22 04:00:00+00,2006,September,Friday    ,22,Evening,D51,0,1,72,Regent Park (72),-79.35812204,43.66119775,109
-8849952.9135722,5428721.91400691,610,GO-20061874685,2006/09/25 04:00:00+00,2006,September,Monday    ,0,Night,D31,0,1,27,York University Heights (27),-79.50047966,43.76224141,110
-8857587.70407532,5428230.98244933,611,GO-20061710058,2006/09/25 04:00:00+00,2006,September,Monday    ,22,Evening,D31,1,0,21,Humber Summit (21),-79.56906415,43.75905627,111
-8833565.71382147,5417370.7504117,612,GO-20061746208,2006/09/29 04:00:00+00,2006,September,Friday    ,12,Afternoon,D54,0,0,57,Broadview North (57),-79.35327094,43.68855225,112
-8842468.28972258,5409552.16638515,613,GO-20061893321,2006/09/30 04:00:00+00,2006,September,Saturday  ,5,Night,D14,0,1,85,South Parkdale (85),-79.43324414,43.63774307,113
-8843713.03421237,5421604.83661762,614,GO-20061504937,2006/10/01 04:00:00+00,2006,October,Sunday    ,23,Evening,D32,0,0,31,Yorkdale-Glen Park (31),-79.44442587,43.71604957,114
-8827041.27735289,5428775.07565429,615,GO-20061837351,2006/10/01 04:00:00+00,2006,October,Sunday    ,3,Night,D41,0,1,119,Wexford/Maryvale (119),-79.29466093,43.76258631,115
-8856592.82174859,5411229.11084917,616,GO-20061688455,2006/10/04 04:00:00+00,2006,October,Wednesday ,13,Afternoon,D22,0,2,14,Islington-City Centre West (14),-79.56012697,43.64864434,116
-8850856.28125875,5422354.44979487,617,GO-20061474546,2006/10/06 04:00:00+00,2006,October,Friday    ,3,Night,D31,0,2,26,Downsview-Roding-CFB (26),-79.50859475,43.72091645,117
-8833280.61681319,5415714.68425799,618,GO-20061741338,2006/10/07 04:00:00+00,2006,October,Saturday  ,4,Night,D55,0,2,68,North Riverdale (68),-79.35070987,43.67779387,118
-8851364.94899275,5423063.06249087,619,GO-20061851962,2006/10/08 04:00:00+00,2006,October,Sunday    ,18,Evening,D31,0,1,26,Downsview-Roding-CFB (26),-79.51316419,43.72551677,119
-8831785.16413221,5421682.48774466,620,GO-20061633445,2006/10/09 04:00:00+00,2006,October,Monday    ,0,Night,D54,0,1,44,Flemingdon Park (44),-79.33727599,43.71655374,120
-8831677.69406941,5421351.37107941,621,GO-20061761402,2006/10/09 04:00:00+00,2006,October,Monday    ,3,Night,D54,0,1,44,Flemingdon Park (44),-79.33631057,43.71440385,121
-8828128.55040419,5422044.91554387,622,GO-20061905589,2006/10/09 04:00:00+00,2006,October,Monday    ,21,Evening,D54,1,1,43,Victoria Village (43),-79.30442807,43.71890684,122
-8822460.2264983,5430595.47593352,623,GO-20061815540,2006/10/11 04:00:00+00,2006,October,Wednesday ,18,Evening,D43,0,2,127,Bendale (127),-79.25350865,43.77439543,123
-8843417.96075132,5418361.47682699,624,GO-20061472265,2006/10/14 04:00:00+00,2006,October,Saturday  ,4,Night,D13,0,2,107,Oakwood Village (107),-79.44177518,43.69498743,124
-8855114.89186866,5426318.13629983,625,GO-20061782494,2006/10/15 04:00:00+00,2006,October,Sunday    ,22,Evening,D31,0,0,22,Humbermede (22),-79.5468505,43.7466442,125
